State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,65. Sant kabeer nagar,1999 - 2000,"78,125.00","225,566.00",2.89,,
Uttar Pradesh,65. Sant kabeer nagar,2000 - 2001,"83,803.00","202,647.00",2.42,,
Uttar Pradesh,65. Sant kabeer nagar,2001 - 2002,"89,677.00","238,337.00",2.66,,
Uttar Pradesh,65. Sant kabeer nagar,2002 - 2003,"87,964.00","208,651.00",2.37,,
Uttar Pradesh,65. Sant kabeer nagar,2003 - 2004,"90,847.00","236,098.00",2.6,,
Uttar Pradesh,65. Sant kabeer nagar,2004 - 2005,"90,187.00","209,399.00",2.32,,
Uttar Pradesh,65. Sant kabeer nagar,2005 - 2006,"84,569.00","179,033.00",2.12,,
Uttar Pradesh,65. Sant kabeer nagar,2006 - 2007,"90,187.00","221,508.00",2.46,,
Uttar Pradesh,65. Sant kabeer nagar,2007 - 2008,"91,295.00","240,928.00",2.64,,
Uttar Pradesh,65. Sant kabeer nagar,2008 - 2009,"92,660.00","250,553.00",2.7,,
Uttar Pradesh,65. Sant kabeer nagar,2009 - 2010,"91,717.00","252,864.00",2.76,,
Uttar Pradesh,65. Sant kabeer nagar,2010 - 2011,"90,776.00","251,903.00",2.77,,
Uttar Pradesh,65. Sant kabeer nagar,2011 - 2012,"91,629.00","266,457.00",2.91,,
Uttar Pradesh,65. Sant kabeer nagar,2012 - 2013,"91,860.00","274,110.00",2.98,,
Uttar Pradesh,65. Sant kabeer nagar,2013 - 2014,"92,210.00","304,201.00",3.3,,
Uttar Pradesh,65. Sant kabeer nagar,2014 - 2015,"90,522.00","224,042.00",2.48,,
Uttar Pradesh,65. Sant kabeer nagar,2015 - 2016,"90,896.00","231,058.00",2.54,,
Uttar Pradesh,65. Sant kabeer nagar,2016 - 2017,"91,776.00","309,944.00",3.38,,
Uttar Pradesh,65. Sant kabeer nagar,2017 - 2018,"90,569.00","290,274.00",3.21,,
Uttar Pradesh,65. Sant kabeer nagar,2018 - 2019,"91,366.00","306,624.00",3.36,,
Uttar Pradesh,65. Sant kabeer nagar,2019 - 2020,"90,988.00","355,399.00",3.91,,
Uttar Pradesh,65. Sant kabeer nagar,2020 - 2021,"91,078.00","376,972.00",4.14,,
Uttar Pradesh,65. Sant kabeer nagar,2021 - 2022,"95,295.00","394,521.00",4.14,,
Uttar Pradesh,65. Sant kabeer nagar,2022 - 2023,"104,802.00","422,981.00",4.04,,
Uttar Pradesh,66. Sant ravidas nagar,1997 - 1998,"44,792.00","131,500.00",2.94,,
Uttar Pradesh,66. Sant ravidas nagar,1998 - 1999,"45,432.00","89,822.00",1.98,,
Uttar Pradesh,66. Sant ravidas nagar,1999 - 2000,"47,071.00","119,380.00",2.54,,
