State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,1. Agra,1997 - 1998,123600.0,391030,3.16,,
Uttar Pradesh,1. Agra,1998 - 1999,"131,032.00","477,808.00",3.65,,
Uttar Pradesh,1. Agra,1999 - 2000,"136,395.00","529,651.00",3.88,,
Uttar Pradesh,1. Agra,2000 - 2001,"137,775.00","420,786.00",3.05,,
Uttar Pradesh,1. Agra,2001 - 2002,"133,214.00","407,041.00",3.06,,
Uttar Pradesh,1. Agra,2002 - 2003,"129,806.00","428,284.00",3.3,,
Uttar Pradesh,1. Agra,2003 - 2004,"130,473.00","424,924.00",3.26,,
Uttar Pradesh,1. Agra,2004 - 2005,"124,278.00","401,871.00",3.23,,
Uttar Pradesh,1. Agra,2005 - 2006,"128,432.00","425,073.00",3.31,,
Uttar Pradesh,1. Agra,2006 - 2007,"124,278.00","344,240.00",2.77,,
Uttar Pradesh,1. Agra,2007 - 2008,"136,334.00","429,989.00",3.15,,
Uttar Pradesh,1. Agra,2008 - 2009,"131,947.00","434,501.00",3.29,,
Uttar Pradesh,1. Agra,2009 - 2010,"138,121.00","439,639.00",3.18,,
Uttar Pradesh,1. Agra,2010 - 2011,"138,092.00","511,421.00",3.7,,
Uttar Pradesh,1. Agra,2011 - 2012,"134,825.00","525,413.00",3.9,,
Uttar Pradesh,1. Agra,2012 - 2013,"134,889.00","516,890.00",3.83,,
Uttar Pradesh,1. Agra,2013 - 2014,"132,340.00","490,452.00",3.71,,
Uttar Pradesh,1. Agra,2014 - 2015,"136,036.00","327,983.00",2.41,,
Uttar Pradesh,1. Agra,2015 - 2016,"120,903.00","390,033.00",3.23,,
Uttar Pradesh,1. Agra,2016 - 2017,"128,553.00","524,496.00",4.08,,
Uttar Pradesh,1. Agra,2017 - 2018,"137,141.00","553,638.00",4.04,,
Uttar Pradesh,1. Agra,2018 - 2019,"132,369.00","578,320.00",4.37,,
Uttar Pradesh,1. Agra,2019 - 2020,"137,283.00","555,307.00",4.04,,
Uttar Pradesh,1. Agra,2020 - 2021,"137,658.00","586,148.00",4.26,,
Uttar Pradesh,1. Agra,2021 - 2022,"141,532.00","573,205.00",4.05,,
Uttar Pradesh,1. Agra,2022 - 2023,"130,922.00","552,753.00",4.22,,
Uttar Pradesh,2. Aligarh,1997 - 1998,"190,423.00","616,108.00",3.24,,
Uttar Pradesh,2. Aligarh,1998 - 1999,"194,677.00","629,068.00",3.23,,
Uttar Pradesh,2. Aligarh,1999 - 2000,"205,628.00","625,621.00",3.04,,
Uttar Pradesh,2. Aligarh,2000 - 2001,"211,657.00","709,851.00",3.35,,
Uttar Pradesh,2. Aligarh,2001 - 2002,"213,864.00","700,120.00",3.27,,
Uttar Pradesh,2. Aligarh,2002 - 2003,"212,456.00","718,204.00",3.38,,
Uttar Pradesh,2. Aligarh,2003 - 2004,"219,859.00","723,449.00",3.29,,
Uttar Pradesh,2. Aligarh,2004 - 2005,"218,709.00","632,775.00",2.89,,
Uttar Pradesh,2. Aligarh,2005 - 2006,"215,167.00","655,184.00",3.05,,
Uttar Pradesh,2. Aligarh,2006 - 2007,"222,714.00","636,071.00",2.86,,
Uttar Pradesh,2. Aligarh,2007 - 2008,"215,097.00","691,967.00",3.22,,
Uttar Pradesh,2. Aligarh,2008 - 2009,"221,199.00","749,201.00",3.39,,
Uttar Pradesh,2. Aligarh,2009 - 2010,"224,169.00","715,772.00",3.19,,
Uttar Pradesh,2. Aligarh,2010 - 2011,"221,809.00","786,313.00",3.55,,
Uttar Pradesh,2. Aligarh,2011 - 2012,"217,820.00","820,310.00",3.77,,
Uttar Pradesh,2. Aligarh,2012 - 2013,"218,374.00","756,666.00",3.47,,
Uttar Pradesh,2. Aligarh,2013 - 2014,"225,289.00","811,266.00",3.6,,
Uttar Pradesh,2. Aligarh,2014 - 2015,"223,267.00","546,558.00",2.45,,
Uttar Pradesh,2. Aligarh,2015 - 2016,"216,572.00","709,923.00",3.28,,
Uttar Pradesh,2. Aligarh,2016 - 2017,"218,163.00","868,289.00",3.98,,
Uttar Pradesh,2. Aligarh,2017 - 2018,"223,557.00","961,295.00",4.3,,
Uttar Pradesh,2. Aligarh,2018 - 2019,"221,798.00","946,190.00",4.27,,
Uttar Pradesh,2. Aligarh,2019 - 2020,"223,574.00","921,572.00",4.12,,
Uttar Pradesh,2. Aligarh,2020 - 2021,"223,574.00","934,986.00",4.18,,
Uttar Pradesh,2. Aligarh,2021 - 2022,"232,606.00","975,782.00",4.19,,
Uttar Pradesh,2. Aligarh,2022 - 2023,"182,135.00","764,238.00",4.2,,
Uttar Pradesh,3. Allahabad,1997 - 1998,"190,876.00","398,756.00",2.09,,
Uttar Pradesh,3. Allahabad,1998 - 1999,"203,402.00","391,346.00",1.92,,
Uttar Pradesh,3. Allahabad,1999 - 2000,"208,548.00","488,181.00",2.34,,
Uttar Pradesh,3. Allahabad,2000 - 2001,"211,443.00","479,894.00",2.27,,
Uttar Pradesh,3. Allahabad,2001 - 2002,"210,105.00","442,760.00",2.11,,
Uttar Pradesh,3. Allahabad,2002 - 2003,"212,871.00","404,442.00",1.9,,
Uttar Pradesh,3. Allahabad,2003 - 2004,"217,811.00","549,516.00",2.52,,
Uttar Pradesh,3. Allahabad,2004 - 2005,"204,827.00","367,569.00",1.79,,
Uttar Pradesh,3. Allahabad,2005 - 2006,"230,058.00","454,785.00",1.98,,
Uttar Pradesh,3. Allahabad,2006 - 2007,"208,249.00","486,357.00",2.34,,
Uttar Pradesh,3. Allahabad,2007 - 2008,"223,737.00","499,761.00",2.23,,
Uttar Pradesh,3. Allahabad,2008 - 2009,"221,972.00","553,542.00",2.49,,
Uttar Pradesh,3. Allahabad,2009 - 2010,"208,376.00","445,788.00",2.14,,
Uttar Pradesh,3. Allahabad,2010 - 2011,"210,574.00","519,125.00",2.47,,
Uttar Pradesh,3. Allahabad,2011 - 2012,"216,174.00","571,545.00",2.64,,
Uttar Pradesh,3. Allahabad,2012 - 2013,"220,342.00","549,112.00",2.49,,
Uttar Pradesh,3. Allahabad,2013 - 2014,"214,421.00","522,361.00",2.44,,
Uttar Pradesh,3. Allahabad,2014 - 2015,"213,258.00","290,829.00",1.36,,
Uttar Pradesh,3. Allahabad,2015 - 2016,"234,879.00","449,089.00",1.91,,
Uttar Pradesh,3. Allahabad,2016 - 2017,"223,336.00","669,621.00",3.0,,
Uttar Pradesh,3. Allahabad,2017 - 2018,"210,205.00","790,673.00",3.76,,
Uttar Pradesh,3. Allahabad,2018 - 2019,"210,752.00","748,837.00",3.55,,
Uttar Pradesh,3. Allahabad,2019 - 2020,"210,714.00","593,160.00",2.82,,
Uttar Pradesh,3. Allahabad,2020 - 2021,"210,752.00","755,631.00",3.59,,
Uttar Pradesh,3. Allahabad,2021 - 2022,"222,277.00","638,602.00",2.87,,
Uttar Pradesh,3. Allahabad,2022 - 2023,"244,722.00","563,350.00",2.3,,
Uttar Pradesh,4. Ambedkar nagar,1997 - 1998,"108,236.00","322,887.00",2.98,,
Uttar Pradesh,4. Ambedkar nagar,1998 - 1999,"112,662.00","318,477.00",2.83,,
Uttar Pradesh,4. Ambedkar nagar,1999 - 2000,"113,982.00","315,865.00",2.77,,
Uttar Pradesh,4. Ambedkar nagar,2000 - 2001,"114,379.00","305,979.00",2.68,,
Uttar Pradesh,4. Ambedkar nagar,2001 - 2002,"116,838.00","280,746.00",2.4,,
Uttar Pradesh,4. Ambedkar nagar,2002 - 2003,"117,009.00","322,256.00",2.75,,
Uttar Pradesh,4. Ambedkar nagar,2003 - 2004,"117,089.00","353,451.00",3.02,,
Uttar Pradesh,4. Ambedkar nagar,2004 - 2005,"118,518.00","322,228.00",2.72,,
Uttar Pradesh,4. Ambedkar nagar,2005 - 2006,"114,783.00","341,709.00",2.98,,
Uttar Pradesh,4. Ambedkar nagar,2006 - 2007,"114,866.00","340,003.00",2.96,,
Uttar Pradesh,4. Ambedkar nagar,2007 - 2008,"118,472.00","384,323.00",3.24,,
Uttar Pradesh,4. Ambedkar nagar,2008 - 2009,"119,016.00","394,300.00",3.31,,
Uttar Pradesh,4. Ambedkar nagar,2009 - 2010,"116,213.00","363,747.00",3.13,,
Uttar Pradesh,4. Ambedkar nagar,2010 - 2011,"113,528.00","380,546.00",3.35,,
Uttar Pradesh,4. Ambedkar nagar,2011 - 2012,"118,006.00","396,146.00",3.36,,
Uttar Pradesh,4. Ambedkar nagar,2012 - 2013,"117,083.00","391,291.00",3.34,,
Uttar Pradesh,4. Ambedkar nagar,2013 - 2014,"118,419.00","407,835.00",3.44,,
Uttar Pradesh,4. Ambedkar nagar,2014 - 2015,"120,131.00","275,941.00",2.3,,
Uttar Pradesh,4. Ambedkar nagar,2015 - 2016,"120,248.00","382,749.00",3.18,,
Uttar Pradesh,4. Ambedkar nagar,2016 - 2017,"119,766.00","425,050.00",3.55,,
Uttar Pradesh,4. Ambedkar nagar,2017 - 2018,"117,806.00","484,300.00",4.11,,
Uttar Pradesh,4. Ambedkar nagar,2018 - 2019,"119,235.00","488,740.00",4.1,,
Uttar Pradesh,4. Ambedkar nagar,2019 - 2020,"119,046.00","466,422.00",3.92,,
Uttar Pradesh,4. Ambedkar nagar,2020 - 2021,"119,547.00","459,300.00",3.84,,
Uttar Pradesh,4. Ambedkar nagar,2021 - 2022,"123,724.00","455,799.00",3.68,,
Uttar Pradesh,4. Ambedkar nagar,2022 - 2023,"118,413.00","402,367.00",3.4,,
Uttar Pradesh,5. Amethi,2010 - 2011,"83,104.00","232,109.00",2.79,,
Uttar Pradesh,5. Amethi,2011 - 2012,"125,328.00","360,193.00",2.87,,
Uttar Pradesh,5. Amethi,2012 - 2013,"126,450.00","387,190.00",3.06,,
Uttar Pradesh,5. Amethi,2013 - 2014,"127,180.00","302,688.00",2.38,,
Uttar Pradesh,5. Amethi,2014 - 2015,"95,382.00","173,595.00",1.82,,
Uttar Pradesh,5. Amethi,2015 - 2016,"93,992.00","223,231.00",2.38,,
Uttar Pradesh,5. Amethi,2016 - 2017,"126,984.00","388,698.00",3.06,,
Uttar Pradesh,5. Amethi,2017 - 2018,"128,799.00","499,225.00",3.88,,
Uttar Pradesh,5. Amethi,2018 - 2019,"129,363.00","458,204.00",3.54,,
Uttar Pradesh,5. Amethi,2019 - 2020,"126,155.00","389,314.00",3.09,,
Uttar Pradesh,5. Amethi,2020 - 2021,"127,185.00","493,223.00",3.88,,
Uttar Pradesh,5. Amethi,2021 - 2022,"138,543.00","445,416.00",3.22,,
Uttar Pradesh,5. Amethi,2022 - 2023,"129,528.00","381,460.00",2.95,,
Uttar Pradesh,6. Amroha,1997 - 1998,"101,429.00","284,513.00",2.81,,
Uttar Pradesh,6. Amroha,1998 - 1999,"103,684.00","302,560.00",2.92,,
Uttar Pradesh,6. Amroha,1999 - 2000,"94,302.00","289,422.00",3.07,,
Uttar Pradesh,6. Amroha,2000 - 2001,"95,440.00","285,847.00",3.0,,
Uttar Pradesh,6. Amroha,2001 - 2002,"94,076.00","302,672.00",3.22,,
Uttar Pradesh,6. Amroha,2002 - 2003,"90,591.00","262,505.00",2.9,,
Uttar Pradesh,6. Amroha,2003 - 2004,"92,947.00","288,702.00",3.11,,
Uttar Pradesh,6. Amroha,2004 - 2005,"95,068.00","236,618.00",2.49,,
Uttar Pradesh,6. Amroha,2005 - 2006,"87,386.00","253,682.00",2.9,,
Uttar Pradesh,6. Amroha,2006 - 2007,"89,902.00","282,472.00",3.14,,
Uttar Pradesh,6. Amroha,2007 - 2008,"92,289.00","277,421.00",3.01,,
Uttar Pradesh,6. Amroha,2008 - 2009,"94,217.00","297,255.00",3.16,,
Uttar Pradesh,6. Amroha,2009 - 2010,"97,745.00","278,280.00",2.85,,
Uttar Pradesh,6. Amroha,2010 - 2011,"92,023.00","291,805.00",3.17,,
Uttar Pradesh,6. Amroha,2011 - 2012,"91,042.00","287,966.00",3.16,,
Uttar Pradesh,6. Amroha,2012 - 2013,"90,059.00","289,179.00",3.21,,
Uttar Pradesh,6. Amroha,2013 - 2014,"92,633.00","305,040.00",3.29,,
Uttar Pradesh,6. Amroha,2014 - 2015,"91,563.00","193,106.00",2.11,,
Uttar Pradesh,6. Amroha,2015 - 2016,"92,461.00","273,869.00",2.96,,
Uttar Pradesh,6. Amroha,2016 - 2017,"92,704.00","325,484.00",3.51,,
Uttar Pradesh,6. Amroha,2017 - 2018,"90,058.00","333,755.00",3.71,,
Uttar Pradesh,6. Amroha,2018 - 2019,"88,417.00","336,604.00",3.81,,
Uttar Pradesh,6. Amroha,2019 - 2020,"89,939.00","348,334.00",3.87,,
Uttar Pradesh,6. Amroha,2020 - 2021,"92,094.00","370,218.00",4.02,,
Uttar Pradesh,6. Amroha,2021 - 2022,"96,101.00","379,407.00",3.95,,
Uttar Pradesh,6. Amroha,2022 - 2023,"92,734.00","381,508.00",4.11,,
Uttar Pradesh,7. Auraiya,1997 - 1998,"80,275.00","210,195.00",2.62,,
Uttar Pradesh,7. Auraiya,1998 - 1999,"86,080.00","292,191.00",3.39,,
Uttar Pradesh,7. Auraiya,1999 - 2000,"86,927.00","282,638.00",3.25,,
Uttar Pradesh,7. Auraiya,2000 - 2001,"88,940.00","298,990.00",3.36,,
Uttar Pradesh,7. Auraiya,2001 - 2002,"88,476.00","289,048.00",3.27,,
Uttar Pradesh,7. Auraiya,2002 - 2003,"87,132.00","246,720.00",2.83,,
Uttar Pradesh,7. Auraiya,2003 - 2004,"91,012.00","284,408.00",3.12,,
Uttar Pradesh,7. Auraiya,2004 - 2005,"93,788.00","235,712.00",2.51,,
Uttar Pradesh,7. Auraiya,2005 - 2006,"91,594.00","267,912.00",2.92,,
Uttar Pradesh,7. Auraiya,2006 - 2007,"94,498.00","296,535.00",3.14,,
Uttar Pradesh,7. Auraiya,2007 - 2008,"94,475.00","288,716.00",3.06,,
Uttar Pradesh,7. Auraiya,2008 - 2009,"98,367.00","348,022.00",3.54,,
Uttar Pradesh,7. Auraiya,2009 - 2010,"99,599.00","286,148.00",2.87,,
Uttar Pradesh,7. Auraiya,2010 - 2011,"100,626.00","377,448.00",3.75,,
Uttar Pradesh,7. Auraiya,2011 - 2012,"101,534.00","390,703.00",3.85,,
Uttar Pradesh,7. Auraiya,2012 - 2013,"103,644.00","376,020.00",3.63,,
Uttar Pradesh,7. Auraiya,2013 - 2014,"104,354.00","398,006.00",3.81,,
Uttar Pradesh,7. Auraiya,2014 - 2015,"104,341.00","236,332.00",2.26,,
Uttar Pradesh,7. Auraiya,2015 - 2016,"108,461.00","334,602.00",3.08,,
Uttar Pradesh,7. Auraiya,2016 - 2017,"99,678.00","400,407.00",4.02,,
Uttar Pradesh,7. Auraiya,2017 - 2018,"102,134.00","396,076.00",3.88,,
Uttar Pradesh,7. Auraiya,2018 - 2019,"101,049.00","417,939.00",4.14,,
Uttar Pradesh,7. Auraiya,2019 - 2020,"102,910.00","399,702.00",3.88,,
Uttar Pradesh,7. Auraiya,2020 - 2021,"102,110.00","423,757.00",4.15,,
Uttar Pradesh,7. Auraiya,2021 - 2022,"105,757.00","419,644.00",3.97,,
Uttar Pradesh,7. Auraiya,2022 - 2023,"103,008.00","429,543.00",4.17,,
Uttar Pradesh,8. Azamgarh,1997 - 1998,"208,030.00","486,525.00",2.34,,
Uttar Pradesh,8. Azamgarh,1998 - 1999,"212,687.00","521,201.00",2.45,,
Uttar Pradesh,8. Azamgarh,1999 - 2000,"216,884.00","535,740.00",2.47,,
Uttar Pradesh,8. Azamgarh,2000 - 2001,"215,453.00","481,708.00",2.24,,
Uttar Pradesh,8. Azamgarh,2001 - 2002,"217,147.00","518,173.00",2.39,,
Uttar Pradesh,8. Azamgarh,2002 - 2003,"216,928.00","434,435.00",2.0,,
Uttar Pradesh,8. Azamgarh,2003 - 2004,"222,018.00","552,640.00",2.49,,
Uttar Pradesh,8. Azamgarh,2004 - 2005,"223,364.00","472,982.00",2.12,,
Uttar Pradesh,8. Azamgarh,2005 - 2006,"222,018.00","532,399.00",2.4,,
Uttar Pradesh,8. Azamgarh,2006 - 2007,"221,335.00","542,049.00",2.45,,
Uttar Pradesh,8. Azamgarh,2007 - 2008,"229,059.00","594,179.00",2.59,,
Uttar Pradesh,8. Azamgarh,2008 - 2009,"231,715.00","632,582.00",2.73,,
Uttar Pradesh,8. Azamgarh,2009 - 2010,"234,688.00","607,136.00",2.59,,
Uttar Pradesh,8. Azamgarh,2010 - 2011,"232,647.00","650,714.00",2.8,,
Uttar Pradesh,8. Azamgarh,2011 - 2012,"230,874.00","667,688.00",2.89,,
Uttar Pradesh,8. Azamgarh,2012 - 2013,"235,690.00","693,636.00",2.94,,
Uttar Pradesh,8. Azamgarh,2013 - 2014,"232,130.00","718,442.00",3.09,,
Uttar Pradesh,8. Azamgarh,2014 - 2015,"243,897.00","516,574.00",2.12,,
Uttar Pradesh,8. Azamgarh,2015 - 2016,"231,153.00","630,354.00",2.73,,
Uttar Pradesh,8. Azamgarh,2016 - 2017,"231,994.00","778,114.00",3.35,,
Uttar Pradesh,8. Azamgarh,2017 - 2018,"235,094.00","808,724.00",3.44,,
Uttar Pradesh,8. Azamgarh,2018 - 2019,"230,824.00","852,201.00",3.69,,
Uttar Pradesh,8. Azamgarh,2019 - 2020,"232,369.00","802,368.00",3.45,,
Uttar Pradesh,8. Azamgarh,2020 - 2021,"240,293.00","849,680.00",3.54,,
Uttar Pradesh,8. Azamgarh,2021 - 2022,"244,953.00","850,967.00",3.47,,
Uttar Pradesh,8. Azamgarh,2022 - 2023,"234,260.00","840,759.00",3.59,,
Uttar Pradesh,9. Baghpat,1997 - 1998,"55,006.00","189,669.00",3.45,,
Uttar Pradesh,9. Baghpat,1998 - 1999,"51,002.00","169,326.00",3.32,,
Uttar Pradesh,9. Baghpat,1999 - 2000,"56,320.00","208,610.00",3.7,,
Uttar Pradesh,9. Baghpat,2000 - 2001,"57,307.00","194,757.00",3.4,,
Uttar Pradesh,9. Baghpat,2001 - 2002,"57,709.00","203,180.00",3.52,,
Uttar Pradesh,9. Baghpat,2002 - 2003,"56,166.00","206,061.00",3.67,,
Uttar Pradesh,9. Baghpat,2003 - 2004,"57,683.00","208,723.00",3.62,,
Uttar Pradesh,9. Baghpat,2004 - 2005,"57,480.00","204,817.00",3.56,,
Uttar Pradesh,9. Baghpat,2005 - 2006,"57,683.00","188,623.00",3.27,,
Uttar Pradesh,9. Baghpat,2006 - 2007,"56,458.00","227,356.00",4.03,,
Uttar Pradesh,9. Baghpat,2007 - 2008,"56,669.00","190,691.00",3.36,,
Uttar Pradesh,9. Baghpat,2008 - 2009,"56,176.00","213,244.00",3.8,,
Uttar Pradesh,9. Baghpat,2009 - 2010,"56,057.00","203,543.00",3.63,,
Uttar Pradesh,9. Baghpat,2010 - 2011,"55,863.00","230,100.00",4.12,,
Uttar Pradesh,9. Baghpat,2011 - 2012,"54,923.00","232,874.00",4.24,,
Uttar Pradesh,9. Baghpat,2012 - 2013,"53,718.00","238,830.00",4.45,,
Uttar Pradesh,9. Baghpat,2013 - 2014,"55,347.00","249,172.00",4.5,,
Uttar Pradesh,9. Baghpat,2014 - 2015,"51,752.00","175,439.00",3.39,,
Uttar Pradesh,9. Baghpat,2015 - 2016,"52,596.00","217,747.00",4.14,,
Uttar Pradesh,9. Baghpat,2016 - 2017,"53,849.00","255,083.00",4.74,,
Uttar Pradesh,9. Baghpat,2017 - 2018,"56,716.00","251,309.00",4.43,,
Uttar Pradesh,9. Baghpat,2018 - 2019,"54,904.00","250,307.00",4.56,,
Uttar Pradesh,9. Baghpat,2019 - 2020,"55,446.00","250,782.00",4.52,,
Uttar Pradesh,9. Baghpat,2020 - 2021,"55,427.00","253,468.00",4.57,,
Uttar Pradesh,9. Baghpat,2021 - 2022,"57,237.00","260,486.00",4.55,,
Uttar Pradesh,9. Baghpat,2022 - 2023,"54,815.00","248,696.00",4.54,,
Uttar Pradesh,10. Bahraich,1997 - 1998,"121,154.00","262,266.00",2.16,,
Uttar Pradesh,10. Bahraich,1998 - 1999,"119,901.00","256,136.00",2.14,,
Uttar Pradesh,10. Bahraich,2000 - 2001,"119,984.00","274,387.00",2.29,,
Uttar Pradesh,10. Bahraich,2001 - 2002,"156,030.00","387,202.00",2.48,,
Uttar Pradesh,10. Bahraich,2002 - 2003,"158,907.00","391,976.00",2.47,,
Uttar Pradesh,10. Bahraich,2003 - 2004,"153,281.00","417,767.00",2.73,,
Uttar Pradesh,10. Bahraich,2004 - 2005,"154,736.00","380,127.00",2.46,,
Uttar Pradesh,10. Bahraich,2005 - 2006,"154,225.00","370,793.00",2.4,,
Uttar Pradesh,10. Bahraich,2006 - 2007,"153,196.00","405,193.00",2.64,,
Uttar Pradesh,10. Bahraich,2007 - 2008,"151,961.00","417,589.00",2.75,,
Uttar Pradesh,10. Bahraich,2008 - 2009,"155,561.00","440,377.00",2.83,,
Uttar Pradesh,10. Bahraich,2009 - 2010,"157,487.00","409,455.00",2.6,,
Uttar Pradesh,10. Bahraich,2010 - 2011,"159,722.00","463,983.00",2.9,,
Uttar Pradesh,10. Bahraich,2011 - 2012,"152,855.00","468,782.00",3.07,,
Uttar Pradesh,10. Bahraich,2012 - 2013,"160,153.00","455,635.00",2.84,,
Uttar Pradesh,10. Bahraich,2013 - 2014,"167,831.00","542,765.00",3.23,,
Uttar Pradesh,10. Bahraich,2014 - 2015,"165,865.00","394,095.00",2.38,,
Uttar Pradesh,10. Bahraich,2015 - 2016,"183,146.00","487,352.00",2.66,,
Uttar Pradesh,10. Bahraich,2016 - 2017,"159,626.00","504,737.00",3.16,,
Uttar Pradesh,10. Bahraich,2017 - 2018,"167,795.00","629,399.00",3.75,,
Uttar Pradesh,10. Bahraich,2018 - 2019,"160,300.00","608,016.00",3.79,,
Uttar Pradesh,10. Bahraich,2019 - 2020,"157,415.00","482,160.00",3.06,,
Uttar Pradesh,10. Bahraich,2020 - 2021,"161,971.00","565,765.00",3.49,,
Uttar Pradesh,10. Bahraich,2021 - 2022,"165,334.00","581,645.00",3.52,,
Uttar Pradesh,10. Bahraich,2022 - 2023,"187,662.00","608,400.00",3.24,,
Uttar Pradesh,11. Ballia,1997 - 1998,"130,162.00","323,175.00",2.48,,
Uttar Pradesh,11. Ballia,1998 - 1999,"125,035.00","284,377.00",2.27,,
Uttar Pradesh,11. Ballia,1999 - 2000,"129,707.00","345,034.00",2.66,,
Uttar Pradesh,11. Ballia,2000 - 2001,"132,720.00","315,013.00",2.37,,
Uttar Pradesh,11. Ballia,2001 - 2002,"133,685.00","321,525.00",2.41,,
Uttar Pradesh,11. Ballia,2002 - 2003,"135,681.00","276,499.00",2.04,,
Uttar Pradesh,11. Ballia,2003 - 2004,"136,832.00","321,216.00",2.35,,
Uttar Pradesh,11. Ballia,2004 - 2005,"143,467.00","261,978.00",1.83,,
Uttar Pradesh,11. Ballia,2005 - 2006,"144,385.00","304,352.00",2.11,,
Uttar Pradesh,11. Ballia,2006 - 2007,"143,467.00","354,506.00",2.47,,
Uttar Pradesh,11. Ballia,2007 - 2008,"136,262.00","354,217.00",2.6,,
Uttar Pradesh,11. Ballia,2008 - 2009,"148,282.00","401,718.00",2.71,,
Uttar Pradesh,11. Ballia,2009 - 2010,"140,294.00","355,916.00",2.54,,
Uttar Pradesh,11. Ballia,2010 - 2011,"138,783.00","407,250.00",2.93,,
Uttar Pradesh,11. Ballia,2011 - 2012,"139,319.00","452,261.00",3.25,,
Uttar Pradesh,11. Ballia,2012 - 2013,"135,902.00","459,034.00",3.38,,
Uttar Pradesh,11. Ballia,2013 - 2014,"137,861.00","395,888.00",2.87,,
Uttar Pradesh,11. Ballia,2014 - 2015,"141,821.00","321,804.00",2.27,,
Uttar Pradesh,11. Ballia,2015 - 2016,"139,202.00","376,862.00",2.71,,
Uttar Pradesh,11. Ballia,2016 - 2017,"137,665.00","542,431.00",3.94,,
Uttar Pradesh,11. Ballia,2017 - 2018,"136,892.00","495,067.00",3.62,,
Uttar Pradesh,11. Ballia,2018 - 2019,"136,836.00","525,720.00",3.84,,
Uttar Pradesh,11. Ballia,2019 - 2020,"137,020.00","522,432.00",3.81,,
Uttar Pradesh,11. Ballia,2020 - 2021,"137,921.00","519,839.00",3.77,,
Uttar Pradesh,11. Ballia,2021 - 2022,"142,473.00","537,408.00",3.77,,
Uttar Pradesh,11. Ballia,2022 - 2023,"147,717.00","514,646.00",3.48,,
Uttar Pradesh,12. Balrampur,1997 - 1998,"85,055.00","184,472.00",2.17,,
Uttar Pradesh,12. Balrampur,1998 - 1999,"100,432.00","187,755.00",1.87,,
Uttar Pradesh,12. Balrampur,1999 - 2000,"100,460.00","244,050.00",2.43,,
Uttar Pradesh,12. Balrampur,2000 - 2001,"98,504.00","208,509.00",2.12,,
Uttar Pradesh,12. Balrampur,2001 - 2002,"90,872.00","207,745.00",2.29,,
Uttar Pradesh,12. Balrampur,2002 - 2003,"84,992.00","169,665.00",2.0,,
Uttar Pradesh,12. Balrampur,2003 - 2004,"83,464.00","194,665.00",2.33,,
Uttar Pradesh,12. Balrampur,2004 - 2005,"82,189.00","181,587.00",2.21,,
Uttar Pradesh,12. Balrampur,2005 - 2006,"83,290.00","184,571.00",2.22,,
Uttar Pradesh,12. Balrampur,2006 - 2007,"81,219.00","197,845.00",2.44,,
Uttar Pradesh,12. Balrampur,2007 - 2008,"83,172.00","291,253.00",3.5,,
Uttar Pradesh,12. Balrampur,2008 - 2009,"87,915.00","245,283.00",2.79,,
Uttar Pradesh,12. Balrampur,2009 - 2010,"81,758.00","236,199.00",2.89,,
Uttar Pradesh,12. Balrampur,2010 - 2011,"82,877.00","235,286.00",2.84,,
Uttar Pradesh,12. Balrampur,2011 - 2012,"83,270.00","239,980.00",2.88,,
Uttar Pradesh,12. Balrampur,2012 - 2013,"87,826.00","238,448.00",2.72,,
Uttar Pradesh,12. Balrampur,2013 - 2014,"85,817.00","236,801.00",2.76,,
Uttar Pradesh,12. Balrampur,2014 - 2015,"90,246.00","189,697.00",2.1,,
Uttar Pradesh,12. Balrampur,2015 - 2016,"85,833.00","205,055.00",2.39,,
Uttar Pradesh,12. Balrampur,2016 - 2017,"87,648.00","251,287.00",2.87,,
Uttar Pradesh,12. Balrampur,2017 - 2018,"82,709.00","301,557.00",3.65,,
Uttar Pradesh,12. Balrampur,2018 - 2019,"85,602.00","299,949.00",3.5,,
Uttar Pradesh,12. Balrampur,2019 - 2020,"88,122.00","324,641.00",3.68,,
Uttar Pradesh,12. Balrampur,2020 - 2021,"87,202.00","296,748.00",3.4,,
Uttar Pradesh,12. Balrampur,2021 - 2022,"89,161.00","294,677.00",3.3,,
Uttar Pradesh,12. Balrampur,2022 - 2023,"105,224.00","320,828.00",3.05,,
Uttar Pradesh,13. Banda,1997 - 1998,"142,754.00","182,185.00",1.28,,
Uttar Pradesh,13. Banda,1998 - 1999,"146,137.00","232,006.00",1.59,,
Uttar Pradesh,13. Banda,1999 - 2000,"144,563.00","224,284.00",1.55,,
Uttar Pradesh,13. Banda,2000 - 2001,"132,364.00","182,959.00",1.38,,
Uttar Pradesh,13. Banda,2001 - 2002,"134,889.00","247,694.00",1.84,,
Uttar Pradesh,13. Banda,2002 - 2003,"137,314.00","203,978.00",1.49,,
Uttar Pradesh,13. Banda,2003 - 2004,"137,249.00","247,951.00",1.81,,
Uttar Pradesh,13. Banda,2004 - 2005,"135,698.00","210,958.00",1.55,,
Uttar Pradesh,13. Banda,2005 - 2006,"130,729.00","183,347.00",1.4,,
Uttar Pradesh,13. Banda,2006 - 2007,"127,107.00","186,396.00",1.47,,
Uttar Pradesh,13. Banda,2007 - 2008,"110,480.00","147,104.00",1.33,,
Uttar Pradesh,13. Banda,2008 - 2009,"143,002.00","258,771.00",1.81,,
