State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2011 - 2012,"142,049.00","477,297.00",3.36,,
,,2012 - 2013,"145,440.00","467,112.00",3.21,,
,,2013 - 2014,"149,458.00","445,320.00",2.98,,
,,2014 - 2015,"155,125.00","206,239.00",1.33,,
,,2015 - 2016,"158,550.00","298,118.00",1.88,,
,,2016 - 2017,"147,427.00","547,846.00",3.72,,
,,2017 - 2018,"160,362.00","581,167.00",3.62,,
,,2018 - 2019,"143,818.00","534,094.00",3.71,,
,,2019 - 2020,"149,023.00","556,303.00",3.73,,
,,2020 - 2021,"144,371.00","532,022.00",3.69,,
,,2021 - 2022,"135,801.00","465,118.00",3.42,,
,,2022 - 2023,"163,199.00","583,926.00",3.58,,
,39. Jaunpur,1997 - 1998,"183,914.00","432,462.00",2.35,,
,,1998 - 1999,"187,329.00","425,697.00",2.27,,
,,1999 - 2000,"188,020.00","442,667.00",2.35,,
,,2000 - 2001,"185,685.00","478,279.00",2.58,,
,,2001 - 2002,"187,032.00","452,739.00",2.42,,
,,2002 - 2003,"188,178.00","436,832.00",2.32,,
,,2003 - 2004,"196,337.00","463,089.00",2.36,,
,,2004 - 2005,"193,364.00","404,269.00",2.09,,
,,2005 - 2006,"174,791.00","416,702.00",2.38,,
,,2006 - 2007,"193,364.00","518,796.00",2.68,,
,,2007 - 2008,"196,970.00","521,380.00",2.65,,
,,2008 - 2009,"188,256.00","538,224.00",2.86,,
,,2009 - 2010,"201,324.00","547,803.00",2.72,,
,,2010 - 2011,"208,204.00","594,006.00",2.85,,
,,2011 - 2012,"205,686.00","654,758.00",3.18,,
,,2012 - 2013,"210,453.00","655,140.00",3.11,,
,,2013 - 2014,"210,671.00","602,940.00",2.86,,
,,2014 - 2015,"209,445.00","405,486.00",1.94,,
,,2015 - 2016,"219,050.00","582,892.00",2.66,,
,,2016 - 2017,"206,881.00","668,226.00",3.23,,
,,2017 - 2018,"207,669.00","735,148.00",3.54,,
,,2018 - 2019,"211,334.00","784,260.00",3.71,,
,,2019 - 2020,"210,908.00","758,214.00",3.59,,
,,2020 - 2021,"209,293.00","773,966.00",3.7,,
,,2021 - 2022,"218,144.00","872,794.00",4,,
,,2022 - 2023,"215,069.00","857,265.00",3.99,,
,40. Jhansi,1997 - 1998,"126,332.00","283,802.00",2.25,,
,,1998 - 1999,"118,757.00","260,926.00",2.2,,
,,1999 - 2000,"129,179.00","338,754.00",2.62,,
,,2000 - 2001,"128,977.00","298,897.00",2.32,,
,,2001 - 2002,"130,628.00","363,138.00",2.78,,
,,2002 - 2003,"119,796.00","306,875.00",2.56,,
,,2003 - 2004,"125,419.00","329,689.00",2.63,,
,,2004 - 2005,"105,343.00","240,036.00",2.28,,
,,2005 - 2006,"126,839.00","263,023.00",2.07,,
,,2006 - 2007,"112,811.00","234,758.00",2.08,,
,,2007 - 2008,"101,013.00","191,527.00",1.9,,
,,2008 - 2009,"116,956.00","318,318.00",2.72,,
,,2009 - 2010,"128,909.00","319,425.00",2.48,,
,,2010 - 2011,"142,456.00","384,439.00",2.7,,
,,2011 - 2012,"178,532.00","558,556.00",3.13,,
,,2012 - 2013,"156,091.00","434,532.00",2.78,,
,,2013 - 2014,"153,384.00","235,384.00",1.53,,
,,2014 - 2015,"155,061.00","183,641.00",1.18,,
,,2015 - 2016,"159,541.00","337,585.00",2.12,,
,,2016 - 2017,"167,702.00","514,967.00",3.07,,
,,2017 - 2018,"149,640.00","394,006.00",2.63,,
,,2018 - 2019,"182,907.00","595,918.00",3.26,,
,,2019 - 2020,"148,822.00","508,550.00",3.42,,
,,2020 - 2021,"153,236.00","463,806.00",3.03,,
,,2021 - 2022,"132,473.00","448,421.00",3.38,,
,,2022 - 2023,"139,381.00","478,634.00",3.43,,
,41. Kannauj,1997 - 1998,"74,492.00","228,029.00",3.06,,
,,1998 - 1999,"74,968.00","259,444.00",3.46,,
,,1999 - 2000,"76,983.00","262,872.00",3.41,,
,,2000 - 2001,"78,524.00","279,793.00",3.56,,
,,2001 - 2002,"76,950.00","235,689.00",3.06,,
,,2002 - 2003,"73,959.00","206,337.00",2.79,,
,,2003 - 2004,"75,218.00","245,740.00",3.27,,
,,2004 - 2005,"72,942.00","227,285.00",3.12,,
,,2005 - 2006,"75,236.00","251,799.00",3.35,,
,,2006 - 2007,"74,147.00","258,686.00",3.49,,
,,2007 - 2008,"73,305.00","255,343.00",3.48,,
,,2008 - 2009,"75,066.00","268,557.00",3.58,,
,,2009 - 2010,"72,427.00","250,571.00",3.46,,
,,2010 - 2011,"73,545.00","262,612.00",3.57,,
,,2011 - 2012,"74,109.00","277,001.00",3.74,,
,,2012 - 2013,"70,105.00","268,920.00",3.84,,
,,2013 - 2014,"77,569.00","297,075.00",3.83,,
,,2014 - 2015,"76,686.00","108,049.00",1.41,,
,,2015 - 2016,"70,564.00","229,316.00",3.25,,
,,2016 - 2017,"80,792.00","332,771.00",4.12,,
,,2017 - 2018,"75,546.00","342,450.00",4.53,,
,,2018 - 2019,"78,024.00","358,888.00",4.6,,
,,2019 - 2020,"78,249.00","348,180.00",4.45,,
,,2020 - 2021,"76,169.00","315,245.00",4.14,,
,,2021 - 2022,"79,473.00","306,289.00",3.85,,
,,2022 - 2023,"65,342.00","260,584.00",3.99,,
,42. Kanpur dehat,1997 - 1998,"99,835.00","281,182.00",2.82,,
,,1998 - 1999,"100,380.00","325,983.00",3.25,,
,,2003 - 2004,"119,071.00","447,734.00",3.76,,
,,2004 - 2005,"116,802.00","377,903.00",3.24,,
,,2005 - 2006,"99,562.00","304,537.00",3.06,,
,,2006 - 2007,"112,329.00","386,438.00",3.44,,
,,2007 - 2008,"119,298.00","394,367.00",3.31,,
,,2008 - 2009,"118,454.00","437,945.00",3.7,,
,,2009 - 2010,"119,223.00","412,472.00",3.46,,
,,2010 - 2011,"111,495.00","435,774.00",3.91,,
,,2011 - 2012,"122,856.00","486,582.00",3.96,,
,,2012 - 2013,"120,580.00","435,969.00",3.62,,
,,2013 - 2014,"127,503.00","457,446.00",3.59,,
,,2014 - 2015,"122,103.00","203,542.00",1.67,,
,,2015 - 2016,"123,990.00","373,499.00",3.01,,
,,2016 - 2017,"121,200.00","556,044.00",4.59,,
,,2017 - 2018,"120,743.00","517,022.00",4.28,,
,,2018 - 2019,"120,774.00","535,103.00",4.43,,
,,2019 - 2020,"122,451.00","520,962.00",4.25,,
,,2020 - 2021,"122,414.00","498,444.00",4.07,,
,,2021 - 2022,"125,428.00","475,874.00",3.79,,
,,2022 - 2023,"124,650.00","503,835.00",4.04,,
,43. Kanpur nagar,1997 - 1998,"100,821.00","301,675.00",2.99,,
,,1998 - 1999,"102,090.00","317,626.00",3.11,,
,,1999 - 2000,"203,576.00","666,531.00",3.27,,
,,2000 - 2001,"209,038.00","647,014.00",3.1,,
,,2001 - 2002,"219,787.00","723,117.00",3.29,,
,,2002 - 2003,"217,858.00","642,237.00",2.95,,
,,2003 - 2004,"98,981.00","325,992.00",3.29,,
,,2004 - 2005,"103,011.00","265,513.00",2.58,,
,,2005 - 2006,"89,745.00","250,922.00",2.8,,
,,2006 - 2007,"89,726.00","270,138.00",3.01,,
,,2007 - 2008,"99,847.00","266,372.00",2.67,,
,,2008 - 2009,"101,671.00","298,443.00",2.94,,
,,2009 - 2010,"100,134.00","295,050.00",2.95,,
,,2010 - 2011,"101,518.00","353,250.00",3.48,,
,,2011 - 2012,"102,955.00","356,662.00",3.46,,
,,2012 - 2013,"106,886.00","380,275.00",3.56,,
,,2013 - 2014,"102,821.00","395,335.00",3.84,,
,,2014 - 2015,"102,753.00","155,171.00",1.51,,
,,2015 - 2016,"101,576.00","215,746.00",2.12,,
,,2016 - 2017,"104,388.00","424,316.00",4.06,,
,,2017 - 2018,"106,047.00","408,721.00",3.85,,
,,2018 - 2019,"103,752.00","432,278.00",4.17,,
,,2019 - 2020,"102,937.00","418,465.00",4.07,,
,,2020 - 2021,"103,150.00","407,211.00",3.95,,
,,2021 - 2022,"106,742.00","371,142.00",3.48,,
,,2022 - 2023,"103,833.00","407,129.00",3.92,,
,44. Kasganj,2009 - 2010,"94,515.00","278,914.00",2.95,,
,,2010 - 2011,"93,870.00","319,064.00",3.4,,
,,2011 - 2012,"95,125.00","345,875.00",3.64,,
,,2012 - 2013,"94,210.00","320,314.00",3.4,,
,,2013 - 2014,"97,331.00","342,897.00",3.52,,
,,2014 - 2015,"98,653.00","229,467.00",2.33,,
,,2015 - 2016,"96,881.00","298,781.00",3.08,,
,,2016 - 2017,"96,241.00","357,343.00",3.71,,
,,2017 - 2018,"94,430.00","375,265.00",3.97,,
,,2018 - 2019,"97,339.00","415,053.00",4.26,,
,,2019 - 2020,"95,297.00","373,945.00",3.92,,
,,2020 - 2021,"94,618.00","360,021.00",3.8,,
,,2021 - 2022,"96,900.00","379,170.00",3.91,,
,,2022 - 2023,"98,291.00","407,121.00",4.14,,
,45. Kaushambi,1997 - 1998,"64,286.00","136,926.00",2.13,,
,,1998 - 1999,"61,902.00","116,998.00",1.89,,
,,1999 - 2000,"60,369.00","151,060.00",2.5,,
,,2000 - 2001,"59,590.00","138,944.00",2.33,,
,,2001 - 2002,"65,813.00","153,750.00",2.34,,
,,2002 - 2003,"67,520.00","139,755.00",2.07,,
,,2003 - 2004,"68,407.00","165,024.00",2.41,,
,,2004 - 2005,"67,754.00","155,817.00",2.3,,
,,2005 - 2006,"65,938.00","137,415.00",2.08,,
,,2006 - 2007,"68,503.00","149,126.00",2.18,,
,,2007 - 2008,"63,597.00","132,208.00",2.08,,
,,2008 - 2009,"69,406.00","180,525.00",2.6,,
,,2009 - 2010,"70,698.00","168,299.00",2.38,,
,,2010 - 2011,"71,572.00","192,775.00",2.69,,
,,2011 - 2012,"72,593.00","209,721.00",2.89,,
,,2012 - 2013,"75,647.00","219,631.00",2.9,,
,,2013 - 2014,"66,491.00","161,600.00",2.43,,
,,2014 - 2015,"70,882.00","108,449.00",1.53,,
,,2015 - 2016,"74,280.00","161,633.00",2.18,,
,,2016 - 2017,"74,995.00","246,377.00",3.29,,
,,2017 - 2018,"72,909.00","231,194.00",3.17,,
,,2018 - 2019,"77,095.00","269,358.00",3.49,,
,,2019 - 2020,"73,961.00","230,766.00",3.12,,
,,2020 - 2021,"75,587.00","249,908.00",3.31,,
,,2021 - 2022,"77,760.00","261,274.00",3.36,,
,,2022 - 2023,"79,617.00","290,682.00",3.65,,
,46. Kheri,1997 - 1998,"192,629.00","437,513.00",2.27,,
,,1998 - 1999,"197,697.00","479,549.00",2.43,,
,,1999 - 2000,"199,737.00","554,059.00",2.77,,
,,2000 - 2001,"200,654.00","535,409.00",2.67,,
,,2001 - 2002,"197,365.00","589,646.00",2.99,,
,,2002 - 2003,"195,218.00","527,329.00",2.7,,
,,2003 - 2004,"203,270.00","580,397.00",2.86,,
,,2004 - 2005,"204,074.00","568,658.00",2.79,,
,,2005 - 2006,"201,483.00","556,093.00",2.76,,
,,2006 - 2007,"190,523.00","575,379.00",3.02,,
,,2007 - 2008,"200,467.00","639,089.00",3.19,,
,,2008 - 2009,"193,189.00","649,888.00",3.36,,
,,2009 - 2010,"202,431.00","600,613.00",2.97,,
,,2010 - 2011,"191,001.00","652,077.00",3.41,,
,,2011 - 2012,"197,303.00","671,817.00",3.41,,
,,2012 - 2013,"183,938.00","640,472.00",3.48,,
,,2013 - 2014,"195,575.00","705,439.00",3.61,,
,,2014 - 2015,"185,828.00","498,172.00",2.68,,
,,2015 - 2016,"176,599.00","599,200.00",3.39,,
,,2016 - 2017,"192,359.00","727,502.00",3.78,,
,,2017 - 2018,"188,602.00","775,531.00",4.11,,
,,2018 - 2019,"198,051.00","841,915.00",4.25,,
,,2019 - 2020,"195,264.00","826,357.00",4.23,,
,,2020 - 2021,"195,061.00","802,091.00",4.11,,
,,2021 - 2022,"202,178.00","827,717.00",4.09,,
,,2022 - 2023,"193,565.00","798,068.00",4.12,,
,47. Kushi nagar,1997 - 1998,"103,187.00","243,419.00",2.36,,
,,1998 - 1999,"106,768.00","247,802.00",2.32,,
,,1999 - 2000,"108,126.00","283,271.00",2.62,,
,,2000 - 2001,"110,993.00","329,185.00",2.97,,
,,2001 - 2002,"107,899.00","289,561.00",2.68,,
,,2002 - 2003,"108,098.00","243,781.00",2.26,,
,,2003 - 2004,"115,364.00","297,940.00",2.58,,
,,2004 - 2005,"117,782.00","312,133.00",2.65,,
,,2005 - 2006,"111,757.00","214,685.00",1.92,,
,,2006 - 2007,"117,988.00","329,658.00",2.79,,
,,2007 - 2008,"107,561.00","331,611.00",3.08,,
,,2008 - 2009,"115,299.00","330,447.00",2.87,,
,,2009 - 2010,"115,798.00","302,696.00",2.61,,
,,2010 - 2011,"119,090.00","345,837.00",2.9,,
,,2011 - 2012,"113,535.00","342,535.00",3.02,,
,,2012 - 2013,"113,917.00","330,929.00",2.91,,
,,2013 - 2014,"115,703.00","351,737.00",3.04,,
,,2014 - 2015,"116,559.00","193,954.00",1.66,,
,,2015 - 2016,"117,350.00","274,130.00",2.34,,
,,2016 - 2017,"117,710.00","351,011.00",2.98,,
,,2017 - 2018,"117,733.00","412,419.00",3.5,,
,,2018 - 2019,"120,236.00","383,914.00",3.19,,
,,2019 - 2020,"119,461.00","441,528.00",3.7,,
,,2020 - 2021,"118,046.00","441,846.00",3.74,,
,,2021 - 2022,"121,457.00","457,043.00",3.76,,
,,2022 - 2023,"121,800.00","450,295.00",3.7,,
,48. Lalitpur,1997 - 1998,"107,132.00","197,615.00",1.84,,
,,1998 - 1999,"95,284.00","181,784.00",1.91,,
,,1999 - 2000,"107,874.00","218,595.00",2.03,,
,,2000 - 2001,"94,797.00","152,435.00",1.61,,
,,2001 - 2002,"94,847.00","172,493.00",1.82,,
,,2002 - 2003,"76,896.00","126,477.00",1.64,,
,,2003 - 2004,"98,336.00","198,633.00",2.02,,
,,2004 - 2005,"95,863.00","191,074.00",1.99,,
,,2005 - 2006,"93,430.00","152,102.00",1.63,,
,,2006 - 2007,"96,659.00","180,269.00",1.86,,
,,2007 - 2008,"62,313.00","98,392.00",1.58,,
,,2008 - 2009,"110,610.00","231,297.00",2.09,,
,,2009 - 2010,"116,621.00","279,191.00",2.39,,
,,2010 - 2011,"125,595.00","295,996.00",2.36,,
,,2011 - 2012,"162,594.00","423,557.00",2.6,,
,,2012 - 2013,"163,229.00","437,611.00",2.68,,
,,2013 - 2014,"178,578.00","372,871.00",2.09,,
,,2014 - 2015,"173,401.00","367,957.00",2.12,,
,,2015 - 2016,"141,798.00","246,445.00",1.74,,
,,2016 - 2017,"171,453.00","525,509.00",3.07,,
,,2017 - 2018,"152,659.00","424,392.00",2.78,,
,,2018 - 2019,"188,237.00","642,076.00",3.41,,
,,2019 - 2020,"171,271.00","548,410.00",3.2,,
,,2020 - 2021,"171,453.00","535,282.00",3.12,,
,,2021 - 2022,"171,462.00","620,521.00",3.62,,
,,2022 - 2023,"170,854.00","623,617.00",3.65,,
,49. Lucknow,1997 - 1998,"81,707.00","180,057.00",2.2,,
,,1998 - 1999,"81,146.00","159,930.00",1.97,,
,,1999 - 2000,"80,848.00","204,973.00",2.54,,
,,2000 - 2001,"95,132.00","247,809.00",2.6,,
,,2001 - 2002,"85,715.00","213,302.00",2.49,,
,,2002 - 2003,"84,411.00","203,626.00",2.41,,
,,2003 - 2004,"85,337.00","198,410.00",2.33,,
,,2004 - 2005,"84,992.00","205,682.00",2.42,,
,,2005 - 2006,"82,078.00","194,437.00",2.37,,
,,2006 - 2007,"84,067.00","224,459.00",2.67,,
,,2007 - 2008,"82,853.00","213,761.00",2.58,,
,,2008 - 2009,"83,894.00","229,032.00",2.73,,
,,2009 - 2010,"85,135.00","226,629.00",2.66,,
,,2010 - 2011,"83,618.00","236,473.00",2.83,,
,,2011 - 2012,"82,274.00","222,469.00",2.7,,
,,2012 - 2013,"83,388.00","239,490.00",2.87,,
,,2013 - 2014,"81,363.00","241,811.00",2.97,,
,,2014 - 2015,"79,315.00","144,512.00",1.82,,
,,2015 - 2016,"78,645.00","176,399.00",2.24,,
,,2016 - 2017,"80,518.00","228,832.00",2.84,,
,,2017 - 2018,"81,589.00","266,225.00",3.26,,
,,2018 - 2019,"78,962.00","284,658.00",3.6,,
,,2019 - 2020,"83,026.00","257,381.00",3.1,,
,,2020 - 2021,"81,162.00","275,302.00",3.39,,
,,2021 - 2022,"85,202.00","301,700.00",3.54,,
,,2022 - 2023,"80,965.00","283,216.00",3.5,,
,50. Maharajganj,1997 - 1998,"133,674.00","295,708.00",2.21,,
,,1998 - 1999,"135,996.00","307,903.00",2.26,,
,,1999 - 2000,"138,592.00","394,975.00",2.85,,
,,2000 - 2001,"135,820.00","391,392.00",2.88,,
,,2001 - 2002,"138,696.00","369,366.00",2.66,,
,,2002 - 2003,"139,007.00","305,287.00",2.2,,
,,2003 - 2004,"143,548.00","365,487.00",2.55,,
,,2004 - 2005,"148,003.00","369,882.00",2.5,,
,,2005 - 2006,"142,975.00","202,596.00",1.42,,
,,2006 - 2007,"143,903.00","400,133.00",2.78,,
,,2007 - 2008,"149,600.00","444,162.00",2.97,,
,,2008 - 2009,"146,715.00","413,443.00",2.82,,
,,2009 - 2010,"147,110.00","432,651.00",2.94,,
,,2010 - 2011,"150,724.00","479,001.00",3.18,,
,,2011 - 2012,"149,390.00","490,896.00",3.29,,
,,2012 - 2013,"154,351.00","510,902.00",3.31,,
,,2013 - 2014,"148,850.00","500,136.00",3.36,,
,,2014 - 2015,"152,333.00","361,486.00",2.37,,
,,2015 - 2016,"153,291.00","459,260.00",3,,
,,2016 - 2017,"148,918.00","525,383.00",3.53,,
,,2017 - 2018,"145,443.00","515,741.00",3.55,,
,,2018 - 2019,"147,751.00","610,212.00",4.13,,
,,2019 - 2020,"148,985.00","600,708.00",4.03,,
,,2020 - 2021,"149,744.00","560,791.00",3.74,,
,,2021 - 2022,"155,147.00","551,392.00",3.55,,
,,2022 - 2023,"148,897.00","550,174.00",3.69,,
,51. Mahoba,1997 - 1998,"69,343.00","118,336.00",1.71,,
,,1998 - 1999,"63,669.00","123,021.00",1.93,,
,,1999 - 2000,"67,838.00","148,821.00",2.19,,
,,2000 - 2001,"63,464.00","88,521.00",1.39,,
,,2001 - 2002,"67,182.00","118,679.00",1.77,,
,,2002 - 2003,"58,607.00","72,264.00",1.23,,
,,2003 - 2004,"65,646.00","94,088.00",1.43,,
,,2004 - 2005,"63,683.00","106,844.00",1.68,,
,,2005 - 2006,"64,497.00","74,756.00",1.16,,
,,2006 - 2007,"68,763.00","91,125.00",1.33,,
,,2007 - 2008,"15,169.00","8,644.00",0.57,,
,,2008 - 2009,"36,764.00","76,546.00",2.08,,
,,2009 - 2010,"66,084.00","102,970.00",1.56,,
,,2010 - 2011,"62,202.00","76,976.00",1.24,,
,,2011 - 2012,"62,984.00","116,023.00",1.84,,
,,2012 - 2013,"71,221.00","140,868.00",1.98,,
,,2013 - 2014,"74,888.00","129,180.00",1.72,,
,,2014 - 2015,"69,598.00","67,961.00",0.98,,
,,2015 - 2016,"23,623.00","18,593.00",0.79,,
,,2016 - 2017,"74,140.00","187,505.00",2.53,,
,,2017 - 2018,"48,394.00","86,668.00",1.79,,
,,2018 - 2019,"81,887.00","230,571.00",2.82,,
,,2019 - 2020,"84,331.00","242,804.00",2.88,,
,,2020 - 2021,"71,779.00","194,394.00",2.71,,
,,2021 - 2022,"79,923.00","227,061.00",2.84,,
,,2022 - 2023,"78,392.00","308,864.00",3.94,,
,52. Mainpuri,1997 - 1998,"130,748.00","365,483.00",2.8,,
,,1998 - 1999,"132,997.00","393,099.00",2.96,,
,,1999 - 2000,"138,441.00","415,669.00",3,,
,,2000 - 2001,"132,468.00","431,832.00",3.26,,
,,2001 - 2002,"131,562.00","419,863.00",3.19,,
,,2002 - 2003,"129,362.00","395,830.00",3.06,,
,,2003 - 2004,"116,444.00","359,361.00",3.09,,
,,2004 - 2005,"117,857.00","317,173.00",2.69,,
,,2005 - 2006,"102,329.00","327,993.00",3.21,,
,,2006 - 2007,"119,101.00","355,515.00",2.98,,
,,2007 - 2008,"142,968.00","451,350.00",3.16,,
,,2008 - 2009,"146,567.00","490,560.00",3.35,,
,,2009 - 2010,"143,887.00","468,064.00",3.25,,
,,2010 - 2011,"160,611.00","559,880.00",3.49,,
,,2011 - 2012,"161,486.00","603,796.00",3.74,,
,,2012 - 2013,"152,558.00","548,751.00",3.6,,
,,2013 - 2014,"153,478.00","581,375.00",3.79,,
,,2014 - 2015,"149,855.00","349,312.00",2.33,,
,,2015 - 2016,"161,770.00","539,018.00",3.33,,
,,2016 - 2017,"149,633.00","600,776.00",4.01,,
,,2017 - 2018,"150,750.00","666,014.00",4.42,,
,,2018 - 2019,"152,866.00","678,878.00",4.44,,
,,2019 - 2020,"150,224.00","635,448.00",4.23,,
,,2020 - 2021,"150,115.00","637,839.00",4.25,,
,,2021 - 2022,"156,761.00","604,627.00",3.86,,
,,2022 - 2023,"149,897.00","601,087.00",4.01,,
,53. Mathura,1997 - 1998,"162,711.00","540,940.00",3.32,,
,,1998 - 1999,"179,992.00","540,527.00",3,,
,,1999 - 2000,"195,013.00","658,504.00",3.38,,
,,2000 - 2001,"209,170.00","713,512.00",3.41,,
,,2001 - 2002,"200,804.00","627,902.00",3.13,,
,,2002 - 2003,"188,938.00","663,797.00",3.51,,
,,2003 - 2004,"198,346.00","655,433.00",3.3,,
,,2004 - 2005,"188,891.00","589,554.00",3.12,,
,,2005 - 2006,"198,347.00","654,148.00",3.3,,
,,2006 - 2007,"188,891.00","538,340.00",2.85,,
,,2007 - 2008,"172,287.00","628,848.00",3.65,,
,,2008 - 2009,"180,271.00","689,717.00",3.83,,
,,2009 - 2010,"191,200.00","616,046.00",3.22,,
,,2010 - 2011,"192,631.00","722,174.00",3.75,,
,,2011 - 2012,"193,061.00","712,202.00",3.69,,
,,2012 - 2013,"196,974.00","735,895.00",3.74,,
,,2013 - 2014,"194,364.00","677,553.00",3.49,,
,,2014 - 2015,"194,214.00","407,849.00",2.1,,
,,2015 - 2016,"178,832.00","617,507.00",3.45,,
,,2016 - 2017,"194,285.00","797,346.00",4.1,,
,,2017 - 2018,"200,421.00","704,480.00",3.52,,
,,2018 - 2019,"203,721.00","850,331.00",4.17,,
,,2019 - 2020,"195,767.00","557,349.00",2.85,,
,,2020 - 2021,"202,884.00","712,731.00",3.51,,
,,2021 - 2022,"203,144.00","708,973.00",3.49,,
,,2022 - 2023,"194,250.00","695,998.00",3.58,,
,54. Mau,1997 - 1998,"91,207.00","214,116.00",2.35,,
,,1998 - 1999,"91,754.00","212,091.00",2.31,,
,,1999 - 2000,"92,319.00","211,816.00",2.29,,
,,2000 - 2001,"92,729.00","214,380.00",2.31,,
,,2001 - 2002,"89,439.00","221,632.00",2.48,,
,,2002 - 2003,"91,686.00","197,205.00",2.15,,
,,2003 - 2004,"91,626.00","231,294.00",2.52,,
,,2004 - 2005,"92,212.00","198,574.00",2.15,,
,,2005 - 2006,"88,008.00","208,931.00",2.37,,
,,2006 - 2007,"87,596.00","213,033.00",2.43,,
,,2007 - 2008,"89,033.00","228,993.00",2.57,,
,,2008 - 2009,"94,140.00","259,356.00",2.76,,
,,2009 - 2010,"94,791.00","227,498.00",2.4,,
,,2010 - 2011,"93,122.00","262,883.00",2.82,,
,,2011 - 2012,"94,869.00","284,417.00",3,,
,,2012 - 2013,"94,885.00","315,208.00",3.32,,
,,2013 - 2014,"93,556.00","285,626.00",3.05,,
,,2014 - 2015,"95,097.00","198,467.00",2.09,,
,,2015 - 2016,"92,953.00","232,661.00",2.5,,
,,2016 - 2017,"94,754.00","315,626.00",3.33,,
,,2017 - 2018,"95,373.00","352,975.00",3.7,,
,,2018 - 2019,"95,550.00","367,772.00",3.85,,
,,2019 - 2020,"95,061.00","329,291.00",3.46,,
,,2020 - 2021,"94,569.00","356,525.00",3.77,,
,,2021 - 2022,"98,616.00","364,879.00",3.7,,
,,2022 - 2023,"94,319.00","323,420.00",3.43,,
,55. Meerut,1997 - 1998,"82,592.00","291,966.00",3.54,,
,,1998 - 1999,"81,965.00","288,369.00",3.52,,
,,1999 - 2000,"83,892.00","324,153.00",3.86,,
,,2000 - 2001,"86,329.00","312,225.00",3.62,,
,,2001 - 2002,"82,542.00","306,025.00",3.71,,
,,2002 - 2003,"76,456.00","279,984.00",3.66,,
,,2003 - 2004,"77,880.00","293,444.00",3.77,,
,,2004 - 2005,"79,633.00","288,080.00",3.62,,
,,2005 - 2006,"79,001.00","285,036.00",3.61,,
,,2006 - 2007,"81,314.00","302,651.00",3.72,,
,,2007 - 2008,"77,856.00","288,301.00",3.7,,
,,2008 - 2009,"87,795.00","314,833.00",3.59,,
,,2009 - 2010,"81,622.00","299,308.00",3.67,,
,,2010 - 2011,"81,215.00","331,357.00",4.08,,
,,2011 - 2012,"78,449.00","330,192.00",4.21,,
,,2012 - 2013,"78,236.00","323,115.00",4.13,,
,,2013 - 2014,"76,532.00","328,475.00",4.29,,
,,2014 - 2015,"76,072.00","245,180.00",3.22,,
,,2015 - 2016,"75,480.00","308,562.00",4.09,,
,,2016 - 2017,"76,095.00","332,002.00",4.36,,
,,2017 - 2018,"75,592.00","329,959.00",4.36,,
,,2018 - 2019,"80,065.00","373,423.00",4.66,,
,,2019 - 2020,"74,650.00","340,180.00",4.56,,
,,2020 - 2021,"79,499.00","362,992.00",4.57,,
,,2021 - 2022,"81,074.00","338,889.00",4.18,,
,,2022 - 2023,"77,846.00","333,337.00",4.28,,
,56. Mirzapur,1997 - 1998,"107,142.00","188,348.00",1.76,,
,,1998 - 1999,"109,136.00","214,785.00",1.97,,
,,1999 - 2000,"111,494.00","239,884.00",2.15,,
,,2000 - 2001,"114,440.00","226,272.00",1.98,,
,,2001 - 2002,"114,486.00","223,370.00",1.95,,
,,2002 - 2003,"107,904.00","205,147.00",1.9,,
,,2003 - 2004,"112,193.00","239,018.00",2.13,,
,,2004 - 2005,"98,249.00","142,366.00",1.45,,
,,2005 - 2006,"78,382.00","124,713.00",1.59,,
,,2006 - 2007,"101,402.00","206,329.00",2.03,,
,,2007 - 2008,"90,412.00","172,158.00",1.9,,
,,2008 - 2009,"94,972.00","187,259.00",1.97,,
,,2009 - 2010,"94,173.00","187,454.00",1.99,,
,,2010 - 2011,"97,121.00","224,822.00",2.31,,
,,2011 - 2012,"98,230.00","241,442.00",2.46,,
,,2012 - 2013,"96,784.00","253,905.00",2.62,,
,,2013 - 2014,"97,530.00","248,407.00",2.55,,
,,2014 - 2015,"98,339.00","174,733.00",1.78,,
,,2015 - 2016,"90,799.00","160,943.00",1.77,,
,,2016 - 2017,"98,525.00","275,293.00",2.79,,
,,2017 - 2018,"94,546.00","278,692.00",2.95,,
,,2018 - 2019,"96,564.00","303,796.00",3.15,,
,,2019 - 2020,"96,236.00","233,240.00",2.42,,
,,2020 - 2021,"97,635.00","319,909.00",3.28,,
,,2021 - 2022,"100,512.00","351,993.00",3.5,,
,,2022 - 2023,"143,382.00","478,609.00",3.34,,
,57. Moradabad,1997 - 1998,"167,350.00","474,190.00",2.83,,
,,1998 - 1999,"170,143.00","479,685.00",2.82,,
,,1999 - 2000,"181,446.00","561,816.00",3.1,,
,,2000 - 2001,"196,895.00","623,383.00",3.17,,
,,2001 - 2002,"197,483.00","623,133.00",3.16,,
,,2002 - 2003,"195,259.00","575,001.00",2.94,,
,,2003 - 2004,"206,414.00","653,948.00",3.17,,
,,2004 - 2005,"213,188.00","548,751.00",2.57,,
,,2005 - 2006,"199,542.00","560,114.00",2.81,,
,,2006 - 2007,"195,267.00","592,635.00",3.03,,
,,2007 - 2008,"205,981.00","605,172.00",2.94,,
,,2008 - 2009,"200,496.00","646,600.00",3.23,,
