State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,11. Ballia,1997 - 1998,"130,162.00","323,175.00",2.48,,
,,1998 - 1999,"125,035.00","284,377.00",2.27,,
,,1999 - 2000,"129,707.00","345,034.00",2.66,,
,,2000 - 2001,"132,720.00","315,013.00",2.37,,
,,2001 - 2002,"133,685.00","321,525.00",2.41,,
,,2002 - 2003,"135,681.00","276,499.00",2.04,,
,,2003 - 2004,"136,832.00","321,216.00",2.35,,
,,2004 - 2005,"143,467.00","261,978.00",1.83,,
,,2005 - 2006,"144,385.00","304,352.00",2.11,,
,,2006 - 2007,"143,467.00","354,506.00",2.47,,
,,2007 - 2008,"136,262.00","354,217.00",2.6,,
,,2008 - 2009,"148,282.00","401,718.00",2.71,,
,,2009 - 2010,"140,294.00","355,916.00",2.54,,
,,2010 - 2011,"138,783.00","407,250.00",2.93,,
,,2011 - 2012,"139,319.00","452,261.00",3.25,,
,,2012 - 2013,"135,902.00","459,034.00",3.38,,
,,2013 - 2014,"137,861.00","395,888.00",2.87,,
,,2014 - 2015,"141,821.00","321,804.00",2.27,,
,,2015 - 2016,"139,202.00","376,862.00",2.71,,
,,2016 - 2017,"137,665.00","542,431.00",3.94,,
,,2017 - 2018,"136,892.00","495,067.00",3.62,,
,,2018 - 2019,"136,836.00","525,720.00",3.84,,
,,2019 - 2020,"137,020.00","522,432.00",3.81,,
,,2020 - 2021,"137,921.00","519,839.00",3.77,,
,,2021 - 2022,"142,473.00","537,408.00",3.77,,
,,2022 - 2023,"147,717.00","514,646.00",3.48,,
,12. Balrampur,1997 - 1998,"85,055.00","184,472.00",2.17,,
,,1998 - 1999,"100,432.00","187,755.00",1.87,,
,,1999 - 2000,"100,460.00","244,050.00",2.43,,
,,2000 - 2001,"98,504.00","208,509.00",2.12,,
,,2001 - 2002,"90,872.00","207,745.00",2.29,,
,,2002 - 2003,"84,992.00","169,665.00",2,,
,,2003 - 2004,"83,464.00","194,665.00",2.33,,
,,2004 - 2005,"82,189.00","181,587.00",2.21,,
,,2005 - 2006,"83,290.00","184,571.00",2.22,,
,,2006 - 2007,"81,219.00","197,845.00",2.44,,
,,2007 - 2008,"83,172.00","291,253.00",3.5,,
,,2008 - 2009,"87,915.00","245,283.00",2.79,,
,,2009 - 2010,"81,758.00","236,199.00",2.89,,
,,2010 - 2011,"82,877.00","235,286.00",2.84,,
,,2011 - 2012,"83,270.00","239,980.00",2.88,,
,,2012 - 2013,"87,826.00","238,448.00",2.72,,
,,2013 - 2014,"85,817.00","236,801.00",2.76,,
,,2014 - 2015,"90,246.00","189,697.00",2.1,,
,,2015 - 2016,"85,833.00","205,055.00",2.39,,
,,2016 - 2017,"87,648.00","251,287.00",2.87,,
,,2017 - 2018,"82,709.00","301,557.00",3.65,,
,,2018 - 2019,"85,602.00","299,949.00",3.5,,
,,2019 - 2020,"88,122.00","324,641.00",3.68,,
,,2020 - 2021,"87,202.00","296,748.00",3.4,,
,,2021 - 2022,"89,161.00","294,677.00",3.3,,
,,2022 - 2023,"105,224.00","320,828.00",3.05,,
,13. Banda,1997 - 1998,"142,754.00","182,185.00",1.28,,
,,1998 - 1999,"146,137.00","232,006.00",1.59,,
,,1999 - 2000,"144,563.00","224,284.00",1.55,,
,,2000 - 2001,"132,364.00","182,959.00",1.38,,
,,2001 - 2002,"134,889.00","247,694.00",1.84,,
,,2002 - 2003,"137,314.00","203,978.00",1.49,,
,,2003 - 2004,"137,249.00","247,951.00",1.81,,
,,2004 - 2005,"135,698.00","210,958.00",1.55,,
